# Существительное

N:0:pA	NCXXNXXAP
V:DI+:ips3	VIDRXR3SX|VIDRXF3SX
V:DI+:mp2	VIDRXI2PX
V:DI+:ms2	VIDRXI2SX
	
V:DT-:iap	VTDNXPXPX
V:DT-:iasf	VTDNXPXSF
V:DT-:iasm	VTDNXPXSM
V:DT-:iasn	VTDNXPXSN
V:DT-:Inf	VTDNX0XXX
V:DT-:ipp1	VTDNXR1PX|VTDNXF1PX
V:DT-:ipp2	VTDNXR2PX|VTDNXF2PX
V:DT-:ipp3	VTDNXR3PX|VTDNXF3PX
V:DT-:ips1	VTDNXR1SX|VTDNXF1SX
V:DT-:ips2	VTDNXR2SX|VTDNXF2SX
V:DT-:ips3	VTDNXR3SX|VTDNXF3SX
V:DT-:mp2	VTDNXI2PX
V:DT-:ms2	VTDNXI2SX
	
V:ID-:iap	VDMNXPXPX
V:ID-:iasf	VDMNXPXSF
V:ID-:iasm	VDMNXPXSM
V:ID-:iasn	VDMNXPXSN
V:ID-:Inf	VDMNX0XXX
V:ID-:ipp1	VDMNXR1PX
V:ID-:ipp2	VDMNXR2PX
V:ID-:ipp3	VDMNXR3PX
V:ID-:ips1	VDMNXR1SX
V:ID-:ips2	VDMNXR2SX
V:ID-:ips3	VDMNXR3SX
V:ID-:mp2	VDMNXI2PX
V:ID-:ms2	VDMNXI2SX
	
V:II-:iap	VIMNXPXPX
V:II-:iasf	VIMNXPXSF
V:II-:iasm	VIMNXPXSM
V:II-:iasn	VIMNXPXSN
V:II-:Inf	VIMNX0XXX
V:II-:ipp1	VIMNXR1PX
V:II-:ipp2	VIMNXR2PX
V:II-:ipp3	VIMNXR3PX
V:II-:ips1	VIMNXR1SX
V:II-:ips2	VIMNXR2SX
V:II-:ips3	VIMNXR3SX
V:II-:mp2	VIMNXI2PX
V:II-:ms2	VIMNXI2SX
	
V:II+:iap	VIMRXPXPX
V:II+:iasf	VIMRXPXSF
V:II+:iasm	VIMRXPXSM
V:II+:iasn	VIMRXPXSN
V:II+:Inf	VIMRX0XXX
V:II+:ipp1	VIMRXR1PX
V:II+:ipp2	VIMRXR2PX
V:II+:ipp3	VIMRXR3PX
V:II+:ips1	VIMRXR1SX
V:II+:ips2	VIMRXR2SX
V:II+:ips3	VIMRXR3SX
V:II+:mp2	VIMRXI2PX
V:II+:ms2	VIMRXI2SX
	
V:IT-:iap	VTMNXPXPX
V:IT-:iasf	VTMNXPXSF
V:IT-:iasm	VTMNXPXSM
V:IT-:iasn	VTMNXPXSN
V:IT-:Inf	VTMNX0XXX
V:IT-:ipp1	VTMNXR1PX
V:IT-:ipp2	VTMNXR2PX
V:IT-:ipp3	VTMNXR3PX
V:IT-:ips1	VTMNXR1SX
V:IT-:ips2	VTMNXR2SX
V:IT-:ips3	VTMNXR3SX
V:IT-:mp2	VTMNXI2PX
V:IT-:ms2	VTMNXI2SX
	
V:IT+:iap	VTMRXPXPX
V:IT+:iasf	VTMRXPXSF
V:IT+:iasm	VTMRXPXSM
V:IT+:iasn	VTMRXPXSN
V:IT+:Inf	VTMRX0XXX
V:IT+:ipp1	VTMRXR1PX
V:IT+:ipp2	VTMRXR2PX
V:IT+:ipp3	VTMRXR3PX
V:IT+:ips1	VTMRXR1SX
V:IT+:ips2	VTMRXR2SX
V:IT+:ips3	VTMRXR3SX
V:IT+:mp2	VTMRXI2PX
V:IT+:ms2	VTMRXI2SX
	
V:PD-:iap	VDPNXPXPX
V:PD-:iasf	VDPNXPXSF
V:PD-:iasm	VDPNXPXSM
V:PD-:iasn	VDPNXPXSN
V:PD-:Inf	VDPNX0XXX
V:PD-:ipp1	VDPNXF1PX
V:PD-:ipp2	VDPNXF2PX
V:PD-:ipp3	VDPNXF3PX
V:PD-:ips1	VDPNXF1SX
V:PD-:ips2	VDPNXF2SX
V:PD-:ips3	VDPNXF3SX
V:PD-:mp2	VDPNXI2PX
V:PD-:ms2	VDPNXI2SX
	
V:PI-:iap	VIPNXPXPX
V:PI-:iasf	VIPNXPXSF
V:PI-:iasm	VIPNXPXSM
V:PI-:iasn	VIPNXPXSN
V:PI-:Inf	VIPNX0XXX
V:PI-:ipp1	VIPNXF1PX
V:PI-:ipp2	VIPNXF2PX
V:PI-:ipp3	VIPNXF3PX
V:PI-:ips1	VIPNXF1SX
V:PI-:ips2	VIPNXF2SX
V:PI-:ips3	VIPNXF3SX
V:PI-:mp2	VIPNXI2PX
V:PI-:ms2	VIPNXI2SX
	
V:PI+:iap	VIPRXPXPX
V:PI+:iasf	VIPRXPXSF
V:PI+:iasm	VIPRXPXSM
V:PI+:iasn	VIPRXPXSN
V:PI+:Inf	VIPRX0XXX
V:PI+:ipp1	VIPRXF1PX
V:PI+:ipp2	VIPRXF2PX
V:PI+:ipp3	VIPRXF3PX
V:PI+:ips1	VIPRXF1SX
V:PI+:ips2	VIPRXF2SX
V:PI+:ips3	VIPRXF3SX
V:PI+:mp2	VIPRXI2PX
V:PI+:ms2	VIPRXI2SX
	
V:PT-:iap	VTPNXPXPX
V:PT-:iasf	VTPNXPXSF
V:PT-:iasm	VTPNXPXSM
V:PT-:iasn	VTPNXPXSN
V:PT-:Inf	VTPNX0XXX
V:PT-:ipp1	VTPNXF1PX
V:PT-:ipp2	VTPNXF2PX
V:PT-:ipp3	VTPNXF3PX
V:PT-:ips1	VTPNXF1SX
V:PT-:ips2	VTPNXF2SX
V:PT-:ips3	VTPNXF3SX
V:PT-:mp2	VTPNXI2PX
V:PT-:ms2	VTPNXI2SX
	
V:PT+:iap	VTPRXPXPX
V:PT+:iasf	VTPRXPXSF
V:PT+:iasm	VTPRXPXSM
V:PT+:iasn	VTPRXPXSN
V:PT+:Inf	VTPRX0XXX
V:PT+:ipp1	VTPRXF1PX
V:PT+:ipp2	VTPRXF2PX
V:PT+:ipp3	VTPRXF3PX
V:PT+:ips1	VTPRXF1SX
V:PT+:ips2	VTPRXF2SX
V:PT+:ips3	VTPRXF3SX
V:PT+:mp2	VTPRXI2PX
V:PT+:ms2	VTPRXI2SX

V:DD-1:iap	VDDN1PXPX
V:DD-1:iasf	VDDN1PXSF
V:DD-1:iasm	VDDN1PXSM
V:DD-1:iasn	VDDN1PXSN
V:DD-1:Inf	VDDN10XXX
V:DD-1:ipp1	VDDN1R1PX|VDDN1F1PX
V:DD-1:ipp2	VDDN1R2PX|VDDN1F2PX
V:DD-1:ipp3	VDDN1R3PX|VDDN1F3PX
V:DD-1:ips1	VDDN1R1SX|VDDN1F1SX
V:DD-1:ips2	VDDN1R2SX|VDDN1F2SX
V:DD-1:ips3	VDDN1R3SX|VDDN1F3SX
V:DD-1:mp2	VDDN1I2PX
V:DD-1:ms2	VDDN1I2SX
	
V:DI-1:iap	VIDN1PXPX
V:DI-1:iasf	VIDN1PXSF
V:DI-1:iasm	VIDN1PXSM
V:DI-1:iasn	VIDN1PXSN
V:DI-1:Inf	VIDN10XXX
V:DI-1:ipp1	VIDN1R1PX|VIDN1F1PX
V:DI-1:ipp2	VIDN1R2PX|VIDN1F2PX
V:DI-1:ipp3	VIDN1R3PX|VIDN1F3PX
V:DI-1:ips1	VIDN1R1SX|VIDN1F1SX
V:DI-1:ips2	VIDN1R2SX|VIDN1F2SX
V:DI-1:ips3	VIDN1R3SX|VIDN1F3SX
V:DI-1:mp2	VIDN1I2PX
V:DI-1:ms2	VIDN1I2SX
	
V:DI+1:iap	VIDR1PXPX
V:DI+1:iasf	VIDR1PXSF
V:DI+1:iasm	VIDR1PXSM
V:DI+1:iasn	VIDR1PXSN
V:DI+1:Inf	VIDR10XXX
V:DI+1:ipp1	VIDR1R1PX|VIDR1F1PX
V:DI+1:ipp2	VIDR1R2PX|VIDR1F2PX
V:DI+1:ipp3	VIDR1R3PX|VIDR1F3PX
V:DI+1:ips1	VIDR1R1SX|VIDR1F1SX
V:DI+1:ips2	VIDR1R2SX|VIDR1F2SX
V:DI+1:ips3	VIDR1R3SX|VIDR1F3SX
V:DI+1:mp2	VIDR1I2PX
V:DI+1:ms2	VIDR1I2SX
	
V:DT-1:iap	VTDN1PXPX
V:DT-1:iasf	VTDN1PXSF
V:DT-1:iasm	VTDN1PXSM
V:DT-1:iasn	VTDN1PXSN
V:DT-1:Inf	VTDN10XXX
V:DT-1:ipp1	VTDN1R1PX|VTDN1F1PX
V:DT-1:ipp2	VTDN1R2PX|VTDN1F2PX
V:DT-1:ipp3	VTDN1R3PX|VTDN1F3PX
V:DT-1:ips1	VTDN1R1SX|VTDN1F1SX
V:DT-1:ips2	VTDN1R2SX|VTDN1F2SX
V:DT-1:ips3	VTDN1R3SX|VTDN1F3SX
V:DT-1:mp2	VTDN1I2PX
V:DT-1:ms2	VTDN1I2SX
	
V:ID-1:iap	VDMN1PXPX
V:ID-1:iasf	VDMN1PXSF
V:ID-1:iasm	VDMN1PXSM
V:ID-1:iasn	VDMN1PXSN
V:ID-1:Inf	VDMN10XXX
V:ID-1:ipp1	VDMN1R1PX
V:ID-1:ipp2	VDMN1R2PX
V:ID-1:ipp3	VDMN1R3PX
V:ID-1:ips1	VDMN1R1SX
V:ID-1:ips2	VDMN1R2SX
V:ID-1:ips3	VDMN1R3SX
V:ID-1:mp2	VDMN1I2PX
V:ID-1:ms2	VDMN1I2SX
	
V:II-1:iap	VIMN1PXPX
V:II-1:iasf	VIMN1PXSF
V:II-1:iasm	VIMN1PXSM
V:II-1:iasn	VIMN1PXSN
V:II-1:Inf	VIMN10XXX
V:II-1:ipp1	VIMN1R1PX
V:II-1:ipp2	VIMN1R2PX
V:II-1:ipp3	VIMN1R3PX
V:II-1:ips1	VIMN1R1SX
V:II-1:ips2	VIMN1R2SX
V:II-1:ips3	VIMN1R3SX
V:II-1:mp2	VIMN1I2PX
V:II-1:ms2	VIMN1I2SX
	
V:II+1:iap	VIMR1PXPX
V:II+1:iasf	VIMR1PXSF
V:II+1:iasm	VIMR1PXSM
V:II+1:iasn	VIMR1PXSN
V:II+1:Inf	VIMR10XXX
V:II+1:ipp1	VIMR1R1PX
V:II+1:ipp2	VIMR1R2PX
V:II+1:ipp3	VIMR1R3PX
V:II+1:ips1	VIMR1R1SX
V:II+1:ips2	VIMR1R2SX
V:II+1:ips3	VIMR1R3SX
V:II+1:mp2	VIMR1I2PX
V:II+1:ms2	VIMR1I2SX
	
V:IT-1:iap	VTMN1PXPX
V:IT-1:iasf	VTMN1PXSF
V:IT-1:iasm	VTMN1PXSM
V:IT-1:iasn	VTMN1PXSN
V:IT-1:Inf	VTMN10XXX
V:IT-1:ipp1	VTMN1R1PX
V:IT-1:ipp2	VTMN1R2PX
V:IT-1:ipp3	VTMN1R3PX
V:IT-1:ips1	VTMN1R1SX
V:IT-1:ips2	VTMN1R2SX
V:IT-1:ips3	VTMN1R3SX
V:IT-1:mp2	VTMN1I2PX
V:IT-1:ms2	VTMN1I2SX
	
V:IT+1:iap	VTMR1PXPX
V:IT+1:iasf	VTMR1PXSF
V:IT+1:iasm	VTMR1PXSM
V:IT+1:iasn	VTMR1PXSN
V:IT+1:Inf	VTMR10XXX
V:IT+1:ipp1	VTMR1R1PX
V:IT+1:ipp2	VTMR1R2PX
V:IT+1:ipp3	VTMR1R3PX
V:IT+1:ips1	VTMR1R1SX
V:IT+1:ips2	VTMR1R2SX
V:IT+1:ips3	VTMR1R3SX
V:IT+1:mp2	VTMR1I2PX
V:IT+1:ms2	VTMR1I2SX
	
V:PD-1:iap	VDPN1PXPX
V:PD-1:iasf	VDPN1PXSF
V:PD-1:iasm	VDPN1PXSM
V:PD-1:iasn	VDPN1PXSN
V:PD-1:Inf	VDPN10XXX
V:PD-1:ipp1	VDPN1F1PX
V:PD-1:ipp2	VDPN1F2PX
V:PD-1:ipp3	VDPN1F3PX
V:PD-1:ips1	VDPN1F1SX
V:PD-1:ips2	VDPN1F2SX
V:PD-1:ips3	VDPN1F3SX
V:PD-1:mp2	VDPN1I2PX
V:PD-1:ms2	VDPN1I2SX
	
V:PI-1:iap	VIPN1PXPX
V:PI-1:iasf	VIPN1PXSF
V:PI-1:iasm	VIPN1PXSM
V:PI-1:iasn	VIPN1PXSN
V:PI-1:Inf	VIPN10XXX
V:PI-1:ipp1	VIPN1F1PX
V:PI-1:ipp2	VIPN1F2PX
V:PI-1:ipp3	VIPN1F3PX
V:PI-1:ips1	VIPN1F1SX
V:PI-1:ips2	VIPN1F2SX
V:PI-1:ips3	VIPN1F3SX
V:PI-1:mp2	VIPN1I2PX
V:PI-1:ms2	VIPN1I2SX
	
V:PI+1:iap	VIPR1PXPX
V:PI+1:iasf	VIPR1PXSF
V:PI+1:iasm	VIPR1PXSM
V:PI+1:iasn	VIPR1PXSN
V:PI+1:Inf	VIPR10XXX
V:PI+1:ipp1	VIPR1F1PX
V:PI+1:ipp2	VIPR1F2PX
V:PI+1:ipp3	VIPR1F3PX
V:PI+1:ips1	VIPR1F1SX
V:PI+1:ips2	VIPR1F2SX
V:PI+1:ips3	VIPR1F3SX
V:PI+1:mp2	VIPR1I2PX
V:PI+1:ms2	VIPR1I2SX
	
V:PT-1:iap	VTPN1PXPX
V:PT-1:iasf	VTPN1PXSF
V:PT-1:iasm	VTPN1PXSM
V:PT-1:iasn	VTPN1PXSN
V:PT-1:Inf	VTPN10XXX
V:PT-1:ipp1	VTPN1F1PX
V:PT-1:ipp2	VTPN1F2PX
V:PT-1:ipp3	VTPN1F3PX
V:PT-1:ips1	VTPN1F1SX
V:PT-1:ips2	VTPN1F2SX
V:PT-1:ips3	VTPN1F3SX
V:PT-1:mp2	VTPN1I2PX
V:PT-1:ms2	VTPN1I2SX
	
V:PT+1:iap	VTPR1PXPX
V:PT+1:iasf	VTPR1PXSF
V:PT+1:iasm	VTPR1PXSM
V:PT+1:iasn	VTPR1PXSN
V:PT+1:Inf	VTPR10XXX
V:PT+1:ipp1	VTPR1F1PX
V:PT+1:ipp2	VTPR1F2PX
V:PT+1:ipp3	VTPR1F3PX
V:PT+1:ips1	VTPR1F1SX
V:PT+1:ips2	VTPR1F2SX
V:PT+1:ips3	VTPR1F3SX
V:PT+1:mp2	VTPR1I2PX
V:PT+1:ms2	VTPR1I2SX

V:DD-2:iap	VDDN2PXPX
V:DD-2:iasf	VDDN2PXSF
V:DD-2:iasm	VDDN2PXSM
V:DD-2:iasn	VDDN2PXSN
V:DD-2:Inf	VDDN20XXX
V:DD-2:ipp1	VDDN2R1PX|VDDN2F1PX
V:DD-2:ipp2	VDDN2R2PX|VDDN2F2PX
V:DD-2:ipp3	VDDN2R3PX|VDDN2F3PX
V:DD-2:ips1	VDDN2R1SX|VDDN2F1SX
V:DD-2:ips2	VDDN2R2SX|VDDN2F2SX
V:DD-2:ips3	VDDN2R3SX|VDDN2F3SX
V:DD-2:mp2	VDDN2I2PX
V:DD-2:ms2	VDDN2I2SX
	
V:DI-2:iap	VIDN2PXPX
V:DI-2:iasf	VIDN2PXSF
V:DI-2:iasm	VIDN2PXSM
V:DI-2:iasn	VIDN2PXSN
V:DI-2:Inf	VIDN20XXX
V:DI-2:ipp1	VIDN2R1PX|VIDN2F1PX
V:DI-2:ipp2	VIDN2R2PX|VIDN2F2PX
V:DI-2:ipp3	VIDN2R3PX|VIDN2F3PX
V:DI-2:ips1	VIDN2R1SX|VIDN2F1SX
V:DI-2:ips2	VIDN2R2SX|VIDN2F2SX
V:DI-2:ips3	VIDN2R3SX|VIDN2F3SX
V:DI-2:mp2	VIDN2I2PX
V:DI-2:ms2	VIDN2I2SX
	
V:DI+2:iap	VIDR2PXPX
V:DI+2:iasf	VIDR2PXSF
V:DI+2:iasm	VIDR2PXSM
V:DI+2:iasn	VIDR2PXSN
V:DI+2:Inf	VIDR20XXX
V:DI+2:ipp1	VIDR2R1PX|VIDR2F1PX
V:DI+2:ipp2	VIDR2R2PX|VIDR2F2PX
V:DI+2:ipp3	VIDR2R3PX|VIDR2F3PX
V:DI+2:ips1	VIDR2R1SX|VIDR2F1SX
V:DI+2:ips2	VIDR2R2SX|VIDR2F2SX
V:DI+2:ips3	VIDR2R3SX|VIDR2F3SX
V:DI+2:mp2	VIDR2I2PX
V:DI+2:ms2	VIDR2I2SX
	
V:DT-2:iap	VTDN2PXPX
V:DT-2:iasf	VTDN2PXSF
V:DT-2:iasm	VTDN2PXSM
V:DT-2:iasn	VTDN2PXSN
V:DT-2:Inf	VTDN20XXX
V:DT-2:ipp1	VTDN2R1PX|VTDN2F1PX
V:DT-2:ipp2	VTDN2R2PX|VTDN2F2PX
V:DT-2:ipp3	VTDN2R3PX|VTDN2F3PX
V:DT-2:ips1	VTDN2R1SX|VTDN2F1SX
V:DT-2:ips2	VTDN2R2SX|VTDN2F2SX
V:DT-2:ips3	VTDN2R3SX|VTDN2F3SX
V:DT-2:mp2	VTDN2I2PX
V:DT-2:ms2	VTDN2I2SX
	
V:ID-2:iap	VDMN2PXPX
V:ID-2:iasf	VDMN2PXSF
V:ID-2:iasm	VDMN2PXSM
V:ID-2:iasn	VDMN2PXSN
V:ID-2:Inf	VDMN20XXX
V:ID-2:ipp1	VDMN2R1PX
V:ID-2:ipp2	VDMN2R2PX
V:ID-2:ipp3	VDMN2R3PX
V:ID-2:ips1	VDMN2R1SX
V:ID-2:ips2	VDMN2R2SX
V:ID-2:ips3	VDMN2R3SX
V:ID-2:mp2	VDMN2I2PX
V:ID-2:ms2	VDMN2I2SX
	
V:II-2:iap	VIMN2PXPX
V:II-2:iasf	VIMN2PXSF
V:II-2:iasm	VIMN2PXSM
V:II-2:iasn	VIMN2PXSN
V:II-2:Inf	VIMN20XXX
V:II-2:ipp1	VIMN2R1PX
V:II-2:ipp2	VIMN2R2PX
V:II-2:ipp3	VIMN2R3PX
V:II-2:ips1	VIMN2R1SX
V:II-2:ips2	VIMN2R2SX
V:II-2:ips3	VIMN2R3SX
V:II-2:mp2	VIMN2I2PX
V:II-2:ms2	VIMN2I2SX
	
V:II+2:iap	VIMR2PXPX
V:II+2:iasf	VIMR2PXSF
V:II+2:iasm	VIMR2PXSM
V:II+2:iasn	VIMR2PXSN
V:II+2:Inf	VIMR20XXX
V:II+2:ipp1	VIMR2R1PX
V:II+2:ipp2	VIMR2R2PX
V:II+2:ipp3	VIMR2R3PX
V:II+2:ips1	VIMR2R1SX
V:II+2:ips2	VIMR2R2SX
V:II+2:ips3	VIMR2R3SX
V:II+2:mp2	VIMR2I2PX
V:II+2:ms2	VIMR2I2SX
	
V:IT-2:iap	VTMN2PXPX
V:IT-2:iasf	VTMN2PXSF
V:IT-2:iasm	VTMN2PXSM
V:IT-2:iasn	VTMN2PXSN
V:IT-2:Inf	VTMN20XXX
V:IT-2:ipp1	VTMN2R1PX
V:IT-2:ipp2	VTMN2R2PX
V:IT-2:ipp3	VTMN2R3PX
V:IT-2:ips1	VTMN2R1SX
V:IT-2:ips2	VTMN2R2SX
V:IT-2:ips3	VTMN2R3SX
V:IT-2:mp2	VTMN2I2PX
V:IT-2:ms2	VTMN2I2SX
	
V:IT+2:iap	VTMR2PXPX
V:IT+2:iasf	VTMR2PXSF
V:IT+2:iasm	VTMR2PXSM
V:IT+2:iasn	VTMR2PXSN
V:IT+2:Inf	VTMR20XXX
V:IT+2:ipp1	VTMR2R1PX
V:IT+2:ipp2	VTMR2R2PX
V:IT+2:ipp3	VTMR2R3PX
V:IT+2:ips1	VTMR2R1SX
V:IT+2:ips2	VTMR2R2SX
V:IT+2:ips3	VTMR2R3SX
V:IT+2:mp2	VTMR2I2PX
V:IT+2:ms2	VTMR2I2SX
	
V:PD-2:iap	VDPN2PXPX
V:PD-2:iasf	VDPN2PXSF
V:PD-2:iasm	VDPN2PXSM
V:PD-2:iasn	VDPN2PXSN
V:PD-2:Inf	VDPN20XXX
V:PD-2:ipp1	VDPN2F1PX
V:PD-2:ipp2	VDPN2F2PX
V:PD-2:ipp3	VDPN2F3PX
V:PD-2:ips1	VDPN2F1SX
V:PD-2:ips2	VDPN2F2SX
V:PD-2:ips3	VDPN2F3SX
V:PD-2:mp2	VDPN2I2PX
V:PD-2:ms2	VDPN2I2SX
	
V:PI-2:iap	VIPN2PXPX
V:PI-2:iasf	VIPN2PXSF
V:PI-2:iasm	VIPN2PXSM
V:PI-2:iasn	VIPN2PXSN
V:PI-2:Inf	VIPN20XXX
V:PI-2:ipp1	VIPN2F1PX
V:PI-2:ipp2	VIPN2F2PX
V:PI-2:ipp3	VIPN2F3PX
V:PI-2:ips1	VIPN2F1SX
V:PI-2:ips2	VIPN2F2SX
V:PI-2:ips3	VIPN2F3SX
V:PI-2:mp2	VIPN2I2PX
V:PI-2:ms2	VIPN2I2SX
	
V:PI+2:iap	VIPR2PXPX
V:PI+2:iasf	VIPR2PXSF
V:PI+2:iasm	VIPR2PXSM
V:PI+2:iasn	VIPR2PXSN
V:PI+2:Inf	VIPR20XXX
V:PI+2:ipp1	VIPR2F1PX
V:PI+2:ipp2	VIPR2F2PX
V:PI+2:ipp3	VIPR2F3PX
V:PI+2:ips1	VIPR2F1SX
V:PI+2:ips2	VIPR2F2SX
V:PI+2:ips3	VIPR2F3SX
V:PI+2:mp2	VIPR2I2PX
V:PI+2:ms2	VIPR2I2SX
	
V:PT-2:iap	VTPN2PXPX
V:PT-2:iasf	VTPN2PXSF
V:PT-2:iasm	VTPN2PXSM
V:PT-2:iasn	VTPN2PXSN
V:PT-2:Inf	VTPN20XXX
V:PT-2:ipp1	VTPN2F1PX
V:PT-2:ipp2	VTPN2F2PX
V:PT-2:ipp3	VTPN2F3PX
V:PT-2:ips1	VTPN2F1SX
V:PT-2:ips2	VTPN2F2SX
V:PT-2:ips3	VTPN2F3SX
V:PT-2:mp2	VTPN2I2PX
V:PT-2:ms2	VTPN2I2SX
	
V:PT+2:iap	VTPR2PXPX
V:PT+2:iasf	VTPR2PXSF
V:PT+2:iasm	VTPR2PXSM
V:PT+2:iasn	VTPR2PXSN
V:PT+2:Inf	VTPR20XXX
V:PT+2:ipp1	VTPR2F1PX
V:PT+2:ipp2	VTPR2F2PX
V:PT+2:ipp3	VTPR2F3PX
V:PT+2:ips1	VTPR2F1SX
V:PT+2:ips2	VTPR2F2SX
V:PT+2:ips3	VTPR2F3SX
V:PT+2:mp2	VTPR2I2PX
V:PT+2:ms2	VTPR2I2SX

V:DD-3:iap	VDDN3PXPX
V:DD-3:iasf	VDDN3PXSF
V:DD-3:iasm	VDDN3PXSM
V:DD-3:iasn	VDDN3PXSN
V:DD-3:Inf	VDDN30XXX
V:DD-3:ipp1	VDDN3R1PX|VDDN3F1PX
V:DD-3:ipp2	VDDN3R2PX|VDDN3F2PX
V:DD-3:ipp3	VDDN3R3PX|VDDN3F3PX
V:DD-3:ips1	VDDN3R1SX|VDDN3F1SX
V:DD-3:ips2	VDDN3R2SX|VDDN3F2SX
V:DD-3:ips3	VDDN3R3SX|VDDN3F3SX
V:DD-3:mp2	VDDN3I2PX
V:DD-3:ms2	VDDN3I2SX
	
V:DI-3:iap	VIDN3PXPX
V:DI-3:iasf	VIDN3PXSF
V:DI-3:iasm	VIDN3PXSM
V:DI-3:iasn	VIDN3PXSN
V:DI-3:Inf	VIDN30XXX
V:DI-3:ipp1	VIDN3R1PX|VIDN3F1PX
V:DI-3:ipp2	VIDN3R2PX|VIDN3F2PX
V:DI-3:ipp3	VIDN3R3PX|VIDN3F3PX
V:DI-3:ips1	VIDN3R1SX|VIDN3F1SX
V:DI-3:ips2	VIDN3R2SX|VIDN3F2SX
V:DI-3:ips3	VIDN3R3SX|VIDN3F3SX
V:DI-3:mp2	VIDN3I2PX
V:DI-3:ms2	VIDN3I2SX
	
V:DI+3:iap	VIDR3PXPX
V:DI+3:iasf	VIDR3PXSF
V:DI+3:iasm	VIDR3PXSM
V:DI+3:iasn	VIDR3PXSN
V:DI+3:Inf	VIDR30XXX
V:DI+3:ipp1	VIDR3R1PX|VIDR3F1PX
V:DI+3:ipp2	VIDR3R2PX|VIDR3F2PX
V:DI+3:ipp3	VIDR3R3PX|VIDR3F3PX
V:DI+3:ips1	VIDR3R1SX|VIDR3F1SX
V:DI+3:ips2	VIDR3R2SX|VIDR3F2SX
V:DI+3:ips3	VIDR3R3SX|VIDR3F3SX
V:DI+3:mp2	VIDR3I2PX
V:DI+3:ms2	VIDR3I2SX
	
V:DT-3:iap	VTDN3PXPX
V:DT-3:iasf	VTDN3PXSF
V:DT-3:iasm	VTDN3PXSM
V:DT-3:iasn	VTDN3PXSN
V:DT-3:Inf	VTDN30XXX
V:DT-3:ipp1	VTDN3R1PX|VTDN3F1PX
V:DT-3:ipp2	VTDN3R2PX|VTDN3F2PX
V:DT-3:ipp3	VTDN3R3PX|VTDN3F3PX
V:DT-3:ips1	VTDN3R1SX|VTDN3F1SX
V:DT-3:ips2	VTDN3R2SX|VTDN3F2SX
V:DT-3:ips3	VTDN3R3SX|VTDN3F3SX
V:DT-3:mp2	VTDN3I2PX
V:DT-3:ms2	VTDN3I2SX
	
V:ID-3:iap	VDMN3PXPX
V:ID-3:iasf	VDMN3PXSF
V:ID-3:iasm	VDMN3PXSM
V:ID-3:iasn	VDMN3PXSN
V:ID-3:Inf	VDMN30XXX
V:ID-3:ipp1	VDMN3R1PX
V:ID-3:ipp2	VDMN3R2PX
V:ID-3:ipp3	VDMN3R3PX
V:ID-3:ips1	VDMN3R1SX
V:ID-3:ips2	VDMN3R2SX
V:ID-3:ips3	VDMN3R3SX
V:ID-3:mp2	VDMN3I2PX
V:ID-3:ms2	VDMN3I2SX
	
V:II-3:iap	VIMN3PXPX
V:II-3:iasf	VIMN3PXSF
V:II-3:iasm	VIMN3PXSM
V:II-3:iasn	VIMN3PXSN
V:II-3:Inf	VIMN30XXX
V:II-3:ipp1	VIMN3R1PX
V:II-3:ipp2	VIMN3R2PX
V:II-3:ipp3	VIMN3R3PX
V:II-3:ips1	VIMN3R1SX
V:II-3:ips2	VIMN3R2SX
V:II-3:ips3	VIMN3R3SX
V:II-3:mp2	VIMN3I2PX
V:II-3:ms2	VIMN3I2SX
	
V:II+3:iap	VIMR3PXPX
V:II+3:iasf	VIMR3PXSF
V:II+3:iasm	VIMR3PXSM
V:II+3:iasn	VIMR3PXSN
V:II+3:Inf	VIMR30XXX
V:II+3:ipp1	VIMR3R1PX
V:II+3:ipp2	VIMR3R2PX
V:II+3:ipp3	VIMR3R3PX
V:II+3:ips1	VIMR3R1SX
V:II+3:ips2	VIMR3R2SX
V:II+3:ips3	VIMR3R3SX
V:II+3:mp2	VIMR3I2PX
V:II+3:ms2	VIMR3I2SX
	
V:IT-3:iap	VTMN3PXPX
V:IT-3:iasf	VTMN3PXSF
V:IT-3:iasm	VTMN3PXSM
V:IT-3:iasn	VTMN3PXSN
V:IT-3:Inf	VTMN30XXX
V:IT-3:ipp1	VTMN3R1PX
V:IT-3:ipp2	VTMN3R2PX
V:IT-3:ipp3	VTMN3R3PX
V:IT-3:ips1	VTMN3R1SX
V:IT-3:ips2	VTMN3R2SX
V:IT-3:ips3	VTMN3R3SX
V:IT-3:mp2	VTMN3I2PX
V:IT-3:ms2	VTMN3I2SX
	
V:IT+3:iap	VTMR3PXPX
V:IT+3:iasf	VTMR3PXSF
V:IT+3:iasm	VTMR3PXSM
V:IT+3:iasn	VTMR3PXSN
V:IT+3:Inf	VTMR30XXX
V:IT+3:ipp1	VTMR3R1PX
V:IT+3:ipp2	VTMR3R2PX
V:IT+3:ipp3	VTMR3R3PX
V:IT+3:ips1	VTMR3R1SX
V:IT+3:ips2	VTMR3R2SX
V:IT+3:ips3	VTMR3R3SX
V:IT+3:mp2	VTMR3I2PX
V:IT+3:ms2	VTMR3I2SX
	
V:PD-3:iap	VDPN3PXPX
V:PD-3:iasf	VDPN3PXSF
V:PD-3:iasm	VDPN3PXSM
V:PD-3:iasn	VDPN3PXSN
V:PD-3:Inf	VDPN30XXX
